,Survivability
0,0
1,1
2,0
3,1
4,0
5,1
6,0
7,1
8,0
9,1
10,0
11,0
12,0
13,0
14,0
15,1
16,1
17,1
18,1
19,1
20,0
21,1
22,1
23,1
24,1
25,1
26,0
27,0
28,0
29,0
30,1
31,1
32,1
33,1
34,1
35,1
36,0
37,0
38,1
39,0
40,1
41,1
42,0
43,0
44,0
45,0
46,1
47,1
48,1
49,0
50,0
51,1
52,1
53,1
54,1
55,1
56,0
57,0
58,0
59,0
60,0
61,0
62,1
63,1
64,1
65,1
66,1
67,0
68,0
69,0
70,1
71,1
72,1
73,0
74,1
75,1
76,0
77,1
78,0
79,1
80,0
81,1
82,0
83,0
84,1
85,1
86,0
87,0
88,0
89,1
90,0
91,1
92,0
93,1
94,0
95,0
96,1
97,0
98,1
99,0
