,Survivability
0,0
1,0
2,1
3,0
4,0
5,0
6,1
7,1
8,1
9,1
10,1
11,1
12,0
13,1
14,0
15,1
16,0
17,1
18,1
19,0
20,1
21,0
22,0
23,0
24,1
25,0
26,1
27,1
28,1
29,1
30,1
31,1
32,1
33,1
34,0
35,1
36,1
37,0
38,1
39,1
40,1
41,0
42,0
43,1
44,1
45,1
46,1
47,0
48,1
49,0
50,0
51,0
52,0
53,0
54,1
55,0
56,1
57,0
58,0
59,1
60,0
61,0
62,0
63,0
64,0
65,1
66,1
67,1
68,1
69,1
70,0
71,0
72,0
73,1
74,1
75,1
76,1
77,0
78,0
79,0
80,0
81,1
82,1
83,1
84,1
85,1
86,0
87,0
88,1
89,1
90,1
91,1
92,1
93,0
94,0
95,0
96,1
97,0
98,1
99,1
