,Survivability
0,1
1,1
2,0
3,0
4,1
5,1
6,1
7,0
8,1
9,0
10,1
11,0
12,0
13,1
14,0
15,1
16,1
17,0
18,1
19,1
20,1
21,1
22,1
23,1
24,1
25,0
26,1
27,0
28,0
29,0
30,1
31,1
32,0
33,1
34,0
35,0
36,0
37,0
38,1
39,1
40,0
41,1
42,1
43,1
44,0
45,0
46,0
47,1
48,1
49,0
50,0
51,0
52,1
53,1
54,1
55,0
56,1
57,1
58,0
59,1
60,0
61,0
62,1
63,0
64,1
65,0
66,0
67,0
68,0
69,1
70,1
71,0
72,0
73,1
74,1
75,1
76,0
77,0
78,1
79,0
80,1
81,1
82,0
83,0
84,0
85,1
86,0
87,1
88,1
89,0
90,1
91,0
92,1
93,0
94,1
95,1
96,1
97,1
98,0
99,1
