,Survivability
0,1
1,1
2,1
3,1
4,0
5,1
6,0
7,1
8,1
9,0
10,0
11,0
12,0
13,1
14,1
15,0
16,1
17,1
18,1
19,1
20,0
21,0
22,0
23,0
24,0
25,0
26,1
27,1
28,0
29,1
30,1
31,1
32,1
33,0
34,1
35,0
36,0
37,0
38,0
39,0
40,1
41,1
42,0
43,0
44,0
45,0
46,1
47,0
48,1
49,0
50,1
51,1
52,0
53,0
54,0
55,0
56,0
57,1
58,0
59,1
60,0
61,1
62,0
63,0
64,1
65,1
66,0
67,1
68,1
69,1
70,1
71,1
72,0
73,1
74,0
75,1
76,0
77,1
78,1
79,1
80,0
81,0
82,1
83,0
84,0
85,1
86,0
87,1
88,0
89,1
90,1
91,0
92,1
93,0
94,0
95,0
96,1
97,1
98,1
99,1
