,Survivability
0,0
1,0
2,0
3,0
4,1
5,0
6,1
7,0
8,1
9,0
10,1
11,0
12,0
13,1
14,0
15,0
16,0
17,0
18,1
19,0
20,0
21,0
22,0
23,1
24,0
25,0
26,0
27,0
28,0
29,1
30,1
31,0
32,1
33,0
34,0
35,0
36,0
37,0
38,0
39,0
40,1
41,1
42,0
43,1
44,0
45,1
46,1
47,0
48,0
49,1
50,0
51,0
52,0
53,0
54,1
55,0
56,1
57,0
58,1
59,0
60,1
61,1
62,0
63,0
64,1
65,1
66,1
67,0
68,0
69,1
70,0
71,0
72,0
73,0
74,1
75,0
76,1
77,1
78,1
79,0
80,0
81,0
82,1
83,0
84,0
85,0
86,0
87,0
88,0
89,0
90,0
91,0
92,1
93,0
94,0
95,1
96,1
97,0
98,0
99,1
