,Survivability
0,0
1,1
2,0
3,0
4,1
5,0
6,0
7,0
8,1
9,0
10,1
11,0
12,0
13,1
14,1
15,0
16,1
17,0
18,0
19,0
20,0
21,1
22,0
23,0
24,1
25,0
26,0
27,1
28,1
29,0
30,0
31,1
32,1
33,1
34,1
35,0
36,0
37,0
38,0
39,0
40,0
41,1
42,0
43,1
44,0
45,1
46,0
47,0
48,0
49,1
50,0
51,0
52,0
53,1
54,0
55,0
56,0
57,1
58,1
59,0
60,1
61,0
62,1
63,1
64,0
65,1
66,0
67,1
68,1
69,1
70,1
71,1
72,0
73,1
74,1
75,1
76,1
77,0
78,1
79,0
80,0
81,1
82,0
83,1
84,0
85,1
86,0
87,0
88,0
89,0
90,1
91,1
92,0
93,1
94,0
95,0
96,1
97,0
98,1
99,1
