,Survivability
0,1
1,0
2,0
3,1
4,0
5,0
6,1
7,1
8,1
9,1
10,1
11,1
12,0
13,1
14,1
15,1
16,1
17,1
18,1
19,0
20,1
21,1
22,1
23,0
24,1
25,1
26,1
27,0
28,1
29,1
30,1
31,1
32,1
33,1
34,1
35,1
36,0
37,0
38,1
39,1
40,1
41,1
42,0
43,1
44,0
45,1
46,1
47,0
48,0
49,1
50,0
51,1
52,1
53,0
54,1
55,1
56,1
57,0
58,0
59,1
60,0
61,0
62,1
63,0
64,0
65,0
66,1
67,1
68,0
69,0
70,0
71,0
72,1
73,1
74,1
75,1
76,0
77,1
78,1
79,1
80,0
81,0
82,1
83,0
84,1
85,0
86,1
87,1
88,1
89,1
90,0
91,1
92,1
93,1
94,1
95,0
96,1
97,1
98,1
99,0
