,Survivability
0,1
1,0
2,0
3,1
4,0
5,1
6,0
7,1
8,1
9,1
10,0
11,1
12,0
13,0
14,1
15,1
16,1
17,0
18,0
19,0
20,1
21,1
22,1
23,1
24,1
25,0
26,1
27,1
28,0
29,1
30,0
31,1
32,1
33,0
34,0
35,0
36,0
37,0
38,0
39,0
40,1
41,0
42,1
43,0
44,0
45,0
46,0
47,1
48,0
49,1
50,1
51,1
52,1
53,1
54,1
55,1
56,0
57,0
58,0
59,1
60,1
61,1
62,1
63,1
64,0
65,1
66,0
67,1
68,0
69,1
70,1
71,1
72,0
73,1
74,0
75,0
76,1
77,1
78,1
79,1
80,1
81,1
82,0
83,0
84,0
85,0
86,0
87,1
88,1
89,1
90,0
91,1
92,0
93,1
94,1
95,1
96,0
97,0
98,0
99,1
