,Survivability
0,1
1,0
2,0
3,1
4,0
5,0
6,1
7,1
8,0
9,1
10,0
11,1
12,1
13,0
14,1
15,0
16,0
17,1
18,1
19,1
20,1
21,0
22,1
23,0
24,1
25,0
26,1
27,1
28,1
29,1
30,0
31,1
32,0
33,0
34,1
35,1
36,0
37,0
38,1
39,1
40,0
41,0
42,0
43,1
44,0
45,0
46,1
47,0
48,1
49,1
50,1
51,0
52,1
53,1
54,1
55,1
56,0
57,1
58,1
59,0
60,0
61,0
62,0
63,0
64,0
65,1
66,1
67,0
68,0
69,1
70,0
71,1
72,1
73,1
74,1
75,1
76,1
77,1
78,0
79,1
80,1
81,1
82,0
83,1
84,1
85,0
86,1
87,1
88,1
89,1
90,1
91,0
92,1
93,1
94,1
95,1
96,0
97,0
98,1
99,1
